x1,y1,x2,y2,pred_support,true_support,occluded_left_prob,occluded_right_prob
0,0,48,48,-0.0017803311347961426,0.0017803013324737549,0.1720350831747055,0.8279649615287781
12,0,60,48,-0.0012407302856445312,0.0012407898902893066,0.17257459461688995,0.8274253606796265
24,0,72,48,-0.0014278292655944824,0.0014278292655944824,0.17238755524158478,0.8276124596595764
36,0,84,48,-0.0014278292655944824,0.0014278292655944824,0.17238755524158478,0.8276124596595764
48,0,96,48,0.00010734796524047852,-0.00010739266872406006,0.17392277717590332,0.8260772824287415
60,0,108,48,-0.0006728172302246094,0.0006728917360305786,0.17314249277114868,0.8268574476242065
72,0,120,48,-0.00025576353073120117,0.00025579333305358887,0.17355959117412567,0.8264403939247131
84,0,132,48,-0.00011706352233886719,0.00011703372001647949,0.17369835078716278,0.8263016939163208
96,0,144,48,0.0003775954246520996,-0.0003776252269744873,0.17419300973415375,0.8258070349693298
108,0,156,48,-0.00025391578674316406,0.00025394558906555176,0.1735614389181137,0.8264385461807251
120,0,168,48,-0.000250399112701416,0.0002504289150238037,0.17356495559215546,0.8264350295066833
132,0,180,48,-9.399652481079102e-05,9.404122829437256e-05,0.1737213432788849,0.8262786269187927
144,0,192,48,-0.00011485815048217773,0.00011485815048217773,0.17370052635669708,0.8262994885444641
156,0,204,48,6.139278411865234e-06,-6.139278411865234e-06,0.17382152378559113,0.8261784911155701
168,0,216,48,6.139278411865234e-06,-6.139278411865234e-06,0.17382152378559113,0.8261784911155701
180,0,228,48,6.139278411865234e-06,-6.139278411865234e-06,0.17382152378559113,0.8261784911155701
192,0,240,48,-0.0003420710563659668,0.00034208595752716064,0.1734732985496521,0.8265267014503479
204,0,252,48,0.0004895329475402832,-0.0004895627498626709,0.17430494725704193,0.8256950974464417
216,0,256,48,0.0004895329475402832,-0.0004895627498626709,0.17430494725704193,0.8256950974464417
228,0,256,48,0.0004895329475402832,-0.0004895627498626709,0.17430494725704193,0.8256950974464417
0,12,48,60,0.0038151144981384277,-0.003815069794654846,0.1776304543018341,0.8223695158958435
12,12,60,60,-0.012308657169342041,0.012308642268180847,0.1615067422389984,0.838493287563324
24,12,72,60,0.03959059715270996,-0.03959055244922638,0.21340593695640564,0.786594033241272
36,12,84,60,0.1355816125869751,-0.13558156788349152,0.3093969523906708,0.6906030178070068
48,12,96,60,0.058806777000427246,-0.058806732296943665,0.23262211680412292,0.7673778533935547
60,12,108,60,-0.011899411678314209,0.011899411678314209,0.16191597282886505,0.8380840420722961
72,12,120,60,-0.01890653371810913,0.01890648901462555,0.1549088954925537,0.8450911641120911
84,12,132,60,0.06938338279724121,-0.0693834125995636,0.24319879710674286,0.7568012475967407
96,12,144,60,0.03127884864807129,-0.0312788188457489,0.20509420335292816,0.7949057817459106
108,12,156,60,0.050822556018829346,-0.050822511315345764,0.22463789582252502,0.7753620743751526
120,12,168,60,-0.0007366538047790527,0.0007367134094238281,0.17307867109775543,0.826921284198761
132,12,180,60,-0.03311264514923096,0.03311263024806976,0.1407027542591095,0.8592972755432129
144,12,192,60,-0.05655789375305176,0.056557975709438324,0.11725740879774094,0.8827425241470337
156,12,204,60,-0.06013953685760498,0.06013960391283035,0.11367578059434891,0.8863241672515869
168,12,216,60,-0.052416086196899414,0.052416056394577026,0.12139932811260223,0.8786007165908813
180,12,228,60,-0.023509442806243896,0.02350945770740509,0.15030592679977417,0.8496940732002258
192,12,240,60,-0.027048110961914062,0.027048125863075256,0.146767258644104,0.853232741355896
204,12,252,60,-0.019666552543640137,0.019666552543640137,0.15414883196353912,0.8458511829376221
216,12,256,60,-0.01893937587738037,0.01893940567970276,0.1548759788274765,0.8451240062713623
228,12,256,60,-0.01539534330368042,0.015395358204841614,0.15842002630233765,0.8415799736976624
0,24,48,72,0.06278693675994873,-0.06278687715530396,0.23660226166248322,0.7633976936340332
12,24,60,72,0.011968851089477539,-0.011968865990638733,0.185784250497818,0.8142157793045044
24,24,72,72,0.1742592453956604,-0.1742592304944992,0.34807461500167847,0.6519253849983215
36,24,84,72,0.3743663728237152,-0.37436632812023163,0.5481817126274109,0.4518182575702667
48,24,96,72,0.24619066715240479,-0.2461906522512436,0.42000603675842285,0.5799939632415771
60,24,108,72,0.03493219614028931,-0.03493216633796692,0.20874755084514618,0.7912524342536926
72,24,120,72,-0.018636882305145264,0.018636882305145264,0.155178502202034,0.8448215126991272
84,24,132,72,0.14839112758636475,-0.14839114248752594,0.3222065269947052,0.6777935028076172
96,24,144,72,0.004249930381774902,-0.004249930381774902,0.17806531488895416,0.821934700012207
108,24,156,72,-0.035811007022857666,0.03581102192401886,0.1380043625831604,0.8619956374168396
120,24,168,72,-0.014814257621765137,0.014814212918281555,0.1590011715888977,0.8409988880157471
132,24,180,72,-0.02057492733001709,0.02057497203350067,0.1532404124736786,0.846759557723999
144,24,192,72,-0.04835468530654907,0.04835467040538788,0.12546071410179138,0.874539315700531
156,24,204,72,-0.07147538661956787,0.07147543877363205,0.10233994573354721,0.8976600170135498
168,24,216,72,-0.07335823774337769,0.07335822284221649,0.10045716166496277,0.8995428681373596
180,24,228,72,-0.06360626220703125,0.06360626220703125,0.11020912230014801,0.8897908926010132
192,24,240,72,-0.05784338712692261,0.05784342437982559,0.11597196012735367,0.8840280175209045
204,24,252,72,-0.044541239738464355,0.044541239738464355,0.1292741447687149,0.8707258701324463
216,24,256,72,-0.03497034311294556,0.03497034311294556,0.1388450413942337,0.8611549735069275
228,24,256,72,-0.02988189458847046,0.029881909489631653,0.1439334750175476,0.8560665249824524
0,36,48,84,0.29485636949539185,-0.29485635459423065,0.4686717391014099,0.5313282608985901
12,36,60,84,0.2965204119682312,-0.2965203672647476,0.4703357517719269,0.5296642184257507
24,36,72,84,0.7515466436743736,-0.7515466064214706,0.9253619909286499,0.0746379867196083
36,36,84,84,0.7986872717738152,-0.7986872047185898,0.972502589225769,0.02749735862016678
48,36,96,84,0.7894398309290409,-0.789439782500267,0.9632551670074463,0.036744799464941025
60,36,108,84,0.5528197884559631,-0.5528198331594467,0.726635217666626,0.2733648419380188
72,36,120,84,0.35870206356048584,-0.35870204865932465,0.5325174331665039,0.4674825668334961
84,36,132,84,0.1272449493408203,-0.1272449642419815,0.30106034874916077,0.6989396810531616
96,36,144,84,-0.028157174587249756,0.02815723419189453,0.14565815031528473,0.8543418049812317
108,36,156,84,-0.06311118602752686,0.06311118602752686,0.1107041984796524,0.8892958164215088
120,36,168,84,0.019240200519561768,-0.019240140914916992,0.19305552542209625,0.8069444298744202
